Thread ID: 72435830
Fiber ID: 68098690
Total: 0.009167
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.13      0.000     0.000     0.000     0.000        2   Proc#to_s 
  0.13      0.000     0.000     0.000     0.000        2   Moped::Node#arbiter? 
  0.13      0.000     0.000     0.000     0.000        2   <Class::Time>#now 
  0.13      0.000     0.000     0.000     0.000        1   Celluloid::Condition#owner= 
  0.13      0.000     0.000     0.000     0.000        1   Enumerable#inject 
  0.13      0.000     0.000     0.000     0.000        4   <Class::Regexp>#escape 
  0.13      0.000     0.000     0.000     0.000        3   Array#clear 
  0.13      0.000     0.000     0.000     0.000        1   Reel::Response#http_version 
  0.12      0.000     0.000     0.000     0.000        2   Kernel#freeze 
  0.12      0.000     0.000     0.000     0.000        2   Fixnum#>= 
  0.12      0.000     0.000     0.000     0.000        2   Array#concat 
  0.12      0.000     0.000     0.000     0.000        1   Session::Sh#execute 
  0.12      0.000     0.000     0.000     0.000        1   Kernel#rand 
  0.11      0.000     0.000     0.000     0.000        2   Hash#update 
  0.11      0.000     0.000     0.000     0.000        2   Array#include? 
  0.11      0.000     0.000     0.000     0.000        2   Kernel#remove_instance_variable 
  0.11      0.000     0.000     0.000     0.000        2   String#tr 
  0.11      0.000     0.000     0.000     0.000        1   String#empty? 
  0.11      0.000     0.000     0.000     0.000        1   Enumerable#map 
  0.11      0.000     0.000     0.000     0.000        2   Integer#round 
  0.10      0.000     0.000     0.000     0.000        2   Moped::Protocol::Message#receive_replies 
  0.10      0.000     0.000     0.000     0.000        2   Fixnum#<= 
  0.10      0.000     0.000     0.000     0.000        1   <Class::JSON::Ext::Generator::State>#allocate 
  0.10      0.000     0.000     0.000     0.000        1   BasicObject#!= 
  0.10      0.000     0.000     0.000     0.000        2   Time#<=> 
  0.09      0.000     0.000     0.000     0.000        2   Thread#inspect 
  0.09      0.000     0.000     0.000     0.000        2   Array#to_a 
  0.09      0.000     0.000     0.000     0.000        2   Array#last 
  0.09      0.000     0.000     0.000     0.000        2   RequestMixin#url 
  0.09      0.000     0.000     0.000     0.000        1   StringIO#pos 
  0.09      0.000     0.000     0.000     0.000        2   Reel::Request::Parser#url 
  0.09      0.000     0.000     0.000     0.000        2   Hash#== 
  0.08      0.000     0.000     0.000     0.000        1   StringIO#rewind 
  0.08      0.000     0.000     0.000     0.000        1   Mutex#lock 
  0.08      0.000     0.000     0.000     0.000        2   <Class::Session::Command>#cmdno 
  0.08      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy 
  0.08      0.000     0.000     0.000     0.000        2   Kernel#block_given? 
  0.07      0.000     0.000     0.000     0.000        1   <Class::Regexp>#allocate 
  0.07      0.000     0.000     0.000     0.000        2   Kernel#to_s 
  0.07      0.000     0.000     0.000     0.000        1   Hash#empty? 
  0.07      0.000     0.000     0.000     0.000        1   IO#printf 
  0.06      0.000     0.000     0.000     0.000        1   Mutex#unlock 
  0.06      0.000     0.000     0.000     0.000        1   String#to_i 
  0.06      0.000     0.000     0.000     0.000        2   String#valid_encoding? 
  0.06      0.000     0.000     0.000     0.000        3   IO#closed? 
  0.05      0.000     0.000     0.000     0.000        1   Thread#[]= 
  0.05      0.000     0.000     0.000     0.000        1   Time#usec 
  0.04      0.000     0.000     0.000     0.000        2   HTTP::Parser#request_url 
  0.04      0.000     0.000     0.000     0.000        1   <Class::Session::Command>#cmdno= 
  0.04      0.000     0.000     0.000     0.000        2   Kernel#class 
  0.03      0.000     0.000     0.000     0.000        1   IO#flush 
  0.03      0.000     0.000     0.000     0.000        1   Kernel#respond_to_missing? 

* indicates recursively called methods
Thread ID: 72553320
Fiber ID: 72553110
Total: 0.006861
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.15      0.000     0.000     0.000     0.000        2   Session::AbstractSession#ready? 
  1.91      0.007     0.000     0.000     0.007        1   Session::AbstractSession#_initialize 
  1.42      0.006     0.000     0.006     0.000        2   Kernel#sleep 
  1.10      0.001     0.000     0.001     0.000        2   IO#readpartial 
  0.77      0.000     0.000     0.000     0.000        2   Proc#call 
  0.58      0.000     0.000     0.000     0.000        2   Regexp#match 
  0.40      0.000     0.000     0.000     0.000        6   Module#=== 
  0.38      0.000     0.000     0.000     0.000        6   IO#closed? 
  0.30      0.000     0.000     0.000     0.000        2   IO#puts 
  0.28      0.000     0.000     0.000     0.000        2   Kernel#puts 
  0.26      0.000     0.000     0.000     0.000        3   IO#write 

* indicates recursively called methods
***** request_url: /saurav/0/execute/who----------start_time: 2013-04-30 00:49:38 +0530------------end_time: 2013-04-30 00:49:41 +0530------------total_time_required: 2.070384662
